"","municode","state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000"
"1",19,"RO",0,-14.8950276243094,"JOSE MARIO DE MELO","3851","PDT","19-jose mario de melo",0,0
"2",19,"RO",1,14.8950276243094,"BADER MASSUD JORGE","5199","PPB","19-bader massud jorge",0,0
"3",35,"RO",0,-38.1121927199727,"SERGIO SIQUEIRA DE CARVALHO","32678","PMDB","35-sergio siqueira de carvalho",0,0
"4",35,"RO",1,38.1121927199727,"FRANCISCO JOSE CHIQUILITO COIMBRA ERSE","72926","PDT","35-francisco jose chiquilito coimbra erse",0,0
"5",51,"RO",0,-21.1229416043912,"EDISON FIDELIS DE SOUZA","11927","PPB","51-edison fidelis de souza",1,0
"6",51,"RO",1,21.1229416043912,"ILDEMAR KUSSLER","18315","PSDB","51-ildemar kussler",0,0
"7",78,"RO",0,-34.202958093673,"ANTENOR KLOCH","6406","PV","78-antenor kloch",0,0
"8",78,"RO",1,34.202958093673,"FRANCISCO DE SALES DUARTE AZEVEDO","13066","PTB","78-francisco de sales duarte azevedo",0,0
"9",94,"RO",0,-9.41686559165976,"SUELI ALVES ARAGAO","9297","PMDB","94-sueli alves aragao",1,1
"10",94,"RO",1,9.41686559165976,"DIVINO CARDOSO CAMPOS","11230","PFL","94-divino cardoso campos",0,0
"11",116,"RO",0,-2.74177467597208,"REGINALDO MONTEIRO","3902","PDT","116-reginaldo monteiro",1,0
"12",116,"RO",1,2.74177467597208,"MARIA INES BAPTISTA DA SILVA ZANOL","4122","PSB","116-maria ines baptista da silva zanol",1,1
"13",132,"RO",0,-19.4233967843282,"LORIVALDO RENATO RUTTMANN","6540","PTB","132-lorivaldo renato ruttmann",0,0
"14",132,"RO",1,19.4233967843282,"MELKISEDEK DONADON","9693","PSC","132-melkisedek donadon",1,1
"15",159,"RO",0,-1.53197614641168,"JOSE AMAURI DOS SANTOS","9577","PPS","159-jose amauri dos santos",1,1
"16",159,"RO",1,1.53197614641168,"ADEMARIO SERAFIM DE ANDRADE","9875","PDT","159-ademario serafim de andrade",1,0
"17",175,"RO",0,-18.3904574966027,"ANTONIO MIGUEL ARRABAL","5405","PT","175-antonio miguel arrabal",0,0
"18",175,"RO",1,18.3904574966027,"CARLOS MAGNO RAMOS","7841","PFL","175-carlos magno ramos",1,1
"19",191,"RO",0,-5.4049356969065,"JOSE RIBEIRO DA SILVA FILHO","5443","PMDB","191-jose ribeiro da silva filho",1,1
"20",191,"RO",1,5.4049356969065,"ANTONIO GERALDO DA SILVA","6065","PPB","191-antonio geraldo da silva",1,0
"21",213,"RO",0,-16.6666666666667,"RAYMUNDO MESQUITA MUNIZ","810","PL","213-raymundo mesquita muniz",1,1
"22",213,"RO",1,16.6666666666667,"ELIO MACHADO DE ASSIS","1134","PMDB","213-elio machado de assis",0,0
"23",230,"RO",0,-12.2275236224156,"CERENEU JOAO NAUE","4691","PDT","230-cereneu joao naue",1,1
"24",230,"RO",1,12.2275236224156,"EDSON LOPES DA SILVA","5998","PSDB","230-edson lopes da silva",1,0
"25",256,"RO",0,-9.79566780671753,"NILTON CAETANO DE SOUZA","5143","PMDB","256-nilton caetano de souza",0,0
"26",256,"RO",1,9.79566780671753,"ARLINDO DETTMANN","6260","PSDB","256-arlindo dettmann",0,0
"27",272,"RO",0,-10.3842716711349,"MARIA FERREIRA","2507","PT","272-maria ferreira",1,0
"28",272,"RO",1,10.3842716711349,"MANOEL FRANCISCO DE ALMEIDA","3088","PDT","272-manoel francisco de almeida",1,0
"29",299,"RO",0,-16.6405771455795,"ROQUE MAZZUCHELLI","6124","PMDB","299-roque mazzuchelli",0,0
"30",299,"RO",1,16.6405771455795,"IVO NARCISO CASSOL","8569","PDT","299-ivo narciso cassol",1,1
"31",310,"RO",0,-8.65083960625362,"MOISES JOSE RIBEIRO DE OLIVEIRA","3944","PTB","310-moises jose ribeiro de oliveira",1,0
"32",310,"RO",1,8.65083960625362,"JOSE PEREIRA DE ASSIS","4691","PMDB","310-jose pereira de assis",1,0
"33",337,"RO",0,-4.0780979373327,"EDEZIO ANTONIO MARTELLI","3046","PT","337-edezio antonio martelli",0,0
"34",337,"RO",1,4.0780979373327,"ARNALDO XAVIER DE OLIVEIRA","3305","PMDB","337-arnaldo xavier de oliveira",0,0
"35",353,"RO",0,-23.159868729489,"LUCIANO ORMASTRONI","1639","PMDB","353-luciano ormastroni",0,0
"36",353,"RO",1,23.159868729489,"PEDRO DE LIMA PAZ","2627","PPB","353-pedro de lima paz",1,0
"37",370,"RO",0,-42.1857395783036,"MAURICIO PIO DE SOUZA","1796","PFL","370-mauricio pio de souza",0,0
"38",370,"RO",1,42.1857395783036,"ELENAI LIMA VIDAL","4417","PMDB","370-elenai lima vidal",0,0
"39",396,"RO",0,-48.9203925845147,"ISILDO HERRERO SOLA","1171","PMDB","396-isildo herrero sola",0,0
"40",396,"RO",1,48.9203925845147,"NEODI CARLOS FRANCISCO DE OLIVEIRA","3414","PFL","396-neodi carlos francisco de oliveira",1,1
"41",418,"RO",0,-2.12863355458915,"SIDNEY APARECIDO POLETINI","2138","PMDB","418-sidney aparecido poletini",1,0
"42",418,"RO",1,2.12863355458915,"RENI AGOSTINI","2231","PT","418-reni agostini",1,1
"43",434,"RO",0,-46.1325966850829,"JOSE ANTENOR NOGUEIRA","975","PMDB","434-jose antenor nogueira",1,1
"44",434,"RO",1,46.1325966850829,"VICENTE DE PAULO BATISTA RODRIGUES","2645","PDT","434-vicente de paulo batista rodrigues",1,0
"45",450,"RO",0,-13.7967167307021,"MILTON MITSUO SAIKI","1234","PTB","450-milton mitsuo saiki",1,1
"46",450,"RO",1,13.7967167307021,"FRANCISCO PEREIRA DOS SANTOS","1629","PT","450-francisco pereira dos santos",0,0
"47",477,"RO",0,-49.6576151121606,"SIDRONIO TIMOTEO E SILVA","1066","PDT","477-sidronio timoteo e silva",0,0
"48",477,"RO",1,49.6576151121606,"LINDOMAR BARBOSA ALVES","3169","PSDB","477-lindomar barbosa alves",0,0
"49",493,"RO",0,-9.69230769230769,"CLAUDETE DE FATIMA MENDES","587","PSDB","493-claudete de fatima mendes",0,0
"50",493,"RO",1,9.69230769230769,"HELENA DA COSTA BEZERRA","713","PMDB","493-helena da costa bezerra",0,0
"51",515,"RO",0,-44.0210879463216,"LEOPERCIO BENEDITO DE ASSIS","1168","PL","515-leopercio benedito de assis",0,0
"52",515,"RO",1,44.0210879463216,"MANOEL FRANCISCO DE LIMA FILHO","3005","PTB","515-manoel francisco de lima filho",1,0
"53",531,"RO",0,-37.8681045209457,"FRANCINILSON FERREIRA GUIMARAES","749","PTB","531-francinilson ferreira guimaraes",0,0
"54",531,"RO",1,37.8681045209457,"NICOLAU ALDO QUEVEDO","1662","PMDB","531-nicolau aldo quevedo",0,0
"55",558,"RO",0,-13.4173055859803,"CHARLES LUIS PINHEIRO GOMES","1581","PL","558-charles luis pinheiro gomes",1,1
"56",558,"RO",1,13.4173055859803,"JOSE GASQUI PERRETA FILHO","2071","PTB","558-jose gasqui perreta filho",1,0
"57",566,"RO",0,-5.62259306803594,"ANTONIO CORDEIRO DE SOUZA","1838","PSC","566-antonio cordeiro de souza",0,0
"58",566,"RO",1,5.62259306803594,"EDSON MARTINS DE PAULA","2057","PMDB","566-edson martins de paula",1,1
"59",574,"RO",0,-2.10197710718002,"MARIO VITAL DE MATOS SOBREIRA","2352","PT","574-mario vital de matos sobreira",0,0
"60",574,"RO",1,2.10197710718002,"ISMAEL GONCALVES DE PAIVA","2453","PMDB","574-ismael goncalves de paiva",1,0
"61",582,"RO",0,-23.6111111111111,"CELSO LUIZ GARDA","605","PSC","582-celso luiz garda",1,0
"62",582,"RO",1,23.6111111111111,"JOAQUIM DOMINGOS BOARIA","979","PSDB","582-joaquim domingos boaria",1,1
"63",590,"RO",0,-37.6146788990826,"JOAO BATISTA MARQUES VIEIRA","918","PDT","590-joao batista marques vieira",1,1
"64",590,"RO",1,37.6146788990826,"ADAO NINKE","2025","PMDB","590-adao ninke",1,0
