"","nsw","age","educ","black","hisp","married","re78"
"1",1,37,11,1,0,1,9930.0498046875
"2",1,22,9,0,1,0,3595.88989257812
"3",1,30,12,1,0,0,24909.5
"4",1,27,11,1,0,0,7506.14990234375
"5",1,33,8,1,0,0,289.790008544922
"6",1,22,9,1,0,0,4056.48999023438
"8",1,32,11,1,0,0,8472.16015625
"9",1,22,16,1,0,0,2164.02001953125
"10",1,33,12,0,0,1,12418.099609375
"11",1,19,9,1,0,0,8173.91015625
"12",1,21,13,1,0,0,17094.599609375
"14",1,27,10,1,0,1,18739.900390625
"15",1,17,7,1,0,0,3023.8798828125
"16",1,19,10,1,0,0,3228.5
"17",1,27,13,1,0,0,14581.900390625
"18",1,23,10,1,0,0,7693.39990234375
"19",1,40,12,1,0,0,10804.2998046875
"20",1,26,12,1,0,0,10747.400390625
"22",1,41,14,0,0,0,5149.5
"23",1,38,9,0,0,0,6408.9501953125
"24",1,24,11,1,0,0,1991.40002441406
"25",1,18,10,1,0,0,11163.2001953125
"26",1,29,11,1,0,1,9643
"27",1,25,11,1,0,0,9897.0498046875
"28",1,27,10,0,1,0,11142.900390625
"29",1,17,10,1,0,0,16218
"30",1,24,11,1,0,0,995.700012207031
"32",1,48,4,1,0,0,6551.58984375
"33",1,25,11,1,0,1,1574.42004394531
"35",1,25,12,1,0,0,3191.75
"36",1,42,14,1,0,0,20505.900390625
"37",1,25,5,1,0,0,6181.8798828125
"38",1,23,12,1,0,1,5911.5498046875
"39",1,46,8,1,0,1,3094.15991210938
"41",1,21,12,1,0,0,1254.57995605469
"42",1,19,9,0,0,0,13188.7998046875
"43",1,17,8,1,0,0,8061.490234375
"44",1,18,8,0,1,1,2787.9599609375
"45",1,20,11,1,0,0,3972.5400390625
"49",1,25,5,1,0,0,12187.400390625
"50",1,23,12,1,0,0,4843.18017578125
"52",1,31,11,1,0,1,8087.490234375
"54",1,25,12,1,0,0,2348.96997070312
"55",1,30,11,1,0,1,590.781982421875
"57",1,37,9,1,0,0,1067.51000976562
"58",1,41,4,1,0,1,7284.990234375
"59",1,42,14,1,0,1,13167.5
"60",1,22,11,0,0,0,1048.43005371094
"62",1,29,8,1,0,0,1923.93994140625
"63",1,35,10,1,0,0,4666.240234375
"64",1,27,11,1,0,0,549.297973632812
"65",1,29,4,1,0,0,762.914978027344
"66",1,28,9,1,0,0,10694.2998046875
"69",1,45,5,1,0,1,8546.7197265625
"70",1,29,13,1,0,0,7479.66015625
"72",1,46,13,1,0,0,647.205017089844
"74",1,25,12,1,0,0,11965.7998046875
"75",1,28,15,1,0,0,9598.5400390625
"76",1,25,11,0,0,0,18783.400390625
"77",1,22,12,1,0,0,18678.099609375
"79",1,40,11,1,0,0,23005.599609375
"80",1,22,11,1,0,0,6456.7001953125
"82",1,18,12,1,0,0,2321.11010742188
"83",1,38,12,0,0,0,4941.85009765625
"87",1,23,8,0,1,0,3881.28002929688
"88",1,26,11,1,0,0,17231
"89",1,21,12,0,0,0,8048.60009765625
"91",1,31,11,1,0,1,14509.900390625
"94",1,21,12,1,0,0,9983.7802734375
"96",1,25,12,0,0,0,5587.5
"97",1,18,9,1,0,0,4482.85009765625
"98",1,42,12,1,0,0,2456.14990234375
"100",1,31,9,0,1,0,26817.599609375
"102",1,26,10,1,0,0,9265.7900390625
"103",1,25,11,1,0,0,485.230010986328
"104",1,18,11,1,0,0,4814.6298828125
"105",1,19,11,1,0,0,7458.10986328125
"107",1,27,13,1,0,0,34099.30078125
"108",1,17,9,1,0,0,1953.27001953125
"111",1,20,9,1,0,0,8881.669921875
"112",1,17,9,0,1,0,6210.669921875
"114",1,18,11,1,0,0,929.883972167969
"116",1,21,12,0,0,0,12558
"117",1,27,12,1,0,0,22163.30078125
"118",1,20,12,1,0,0,1652.64001464844
"119",1,19,10,1,0,0,8124.72021484375
"120",1,23,12,1,0,0,671.331970214844
"121",1,29,14,1,0,0,17815
"122",1,18,10,1,0,0,9737.150390625
"123",1,19,9,1,0,0,17685.19921875
"125",1,18,11,0,0,0,4321.7099609375
"126",1,27,9,1,0,1,1773.42004394531
"128",1,23,10,1,0,1,11233.2998046875
"129",1,23,12,0,1,0,559.442993164062
"130",1,20,11,1,0,0,1085.43994140625
"131",1,17,9,1,0,0,5445.2001953125
"132",1,28,11,1,0,0,60307.8984375
"133",1,26,11,1,0,1,1460.35998535156
"134",1,20,11,1,0,0,6943.33984375
"135",1,24,11,1,0,1,4032.7099609375
"136",1,31,9,1,0,0,10363.2998046875
"137",1,23,8,0,0,1,4232.31005859375
"138",1,18,10,1,0,0,11141.400390625
"140",1,26,11,0,0,0,13385.900390625
"141",1,24,9,1,0,0,4849.56005859375
"143",1,24,10,1,0,0,1660.51000976562
"145",1,31,12,0,0,0,2484.55004882812
"146",1,19,11,1,0,0,4146.60009765625
"147",1,19,8,1,0,0,9970.6796875
"149",1,26,11,1,0,1,26372.30078125
"150",1,20,10,1,0,0,5615.18994140625
"151",1,28,10,1,0,0,3196.57006835938
"152",1,24,12,1,0,0,6167.68017578125
"153",1,19,8,1,0,0,7535.93994140625
"154",1,23,12,1,0,0,8484.240234375
"155",1,42,9,1,0,1,1294.41003417969
"157",1,18,9,1,0,0,5010.33984375
"158",1,21,12,1,0,0,9371.0400390625
"160",1,21,8,1,0,0,4279.60986328125
"161",1,22,9,1,0,0,3462.56005859375
"162",1,31,4,1,0,0,7382.5498046875
"165",1,29,12,1,0,0,10976.5
"166",1,19,10,0,0,0,13829.599609375
"167",1,19,11,0,1,1,6788.4599609375
"168",1,31,9,1,0,0,9558.5
"169",1,22,10,1,0,1,13228.2998046875
"170",1,21,9,1,0,0,743.6669921875
"171",1,17,10,1,0,0,5522.7900390625
"172",1,26,12,1,0,1,1424.93994140625
"173",1,20,9,0,1,0,1358.64001464844
"175",1,26,10,1,0,0,672.877014160156
"177",1,22,12,0,1,1,10092.7998046875
"178",1,33,11,1,0,0,6281.43017578125
"179",1,22,12,0,0,0,12590.7001953125
"180",1,29,10,0,1,0,5112.009765625
"181",1,33,12,1,0,1,15952.599609375
"182",1,25,14,1,0,1,36647
"183",1,35,9,1,0,1,12804
"184",1,35,8,1,0,1,3786.6298828125
"185",1,33,11,1,0,1,4181.93994140625
"187",0,26,12,0,0,0,12383.7001953125
"189",0,18,9,1,0,0,10740.099609375
"190",0,45,11,1,0,0,11796.5
"191",0,18,9,1,0,0,9227.0498046875
"192",0,24,8,0,0,0,10569.2998046875
"193",0,34,11,1,0,1,6040.33984375
"194",0,24,4,0,1,0,3880.830078125
"196",0,21,14,1,0,0,5775.06005859375
"201",0,34,12,1,0,0,2113.71997070312
"202",0,24,10,1,0,0,7618.64013671875
"203",0,22,8,0,1,0,9920.9501953125
"204",0,25,11,1,0,0,4196.3798828125
"206",0,19,9,1,0,1,16658.30078125
"207",0,44,9,1,0,0,9722
